,,,,,,,,"Master BG","Master BG","Layout","Layout","Layout","Layout","Layout","Layout","Layout",,"Import BG","Import BG","Animation","Animation","FX","FX",,,,
"31226","ep017seq06sh18","ip","http:///file_proxy/thumbnail/374165","35","add","chars_cilya_chikens, props_ helm_003, props_book_004, props_chair_001, props_megaphone_001, sets_blackhole_014","no_c","97880","wtg","97877","fin","Layout","Roman Grechanovskiy","","","fin","ip","97879","wtg","97876","fin","97878","fin","Shot","ep017seq06","LEX&PLU",
"31227","ep017seq06sh19","ip","http:///file_proxy/thumbnail/356898","96","add","props_ helm_003, props_book_004, props_chair_001, sets_blackhole_016","no_c","97885","wtg","97882","fin","Layout","Roman Grechanovskiy","","","fin","ip","97884","wtg","97881","fin","97883","rdy","Shot","ep017seq06","LEX&PLU",
"31228","ep017seq06sh20","ip","http:///file_proxy/thumbnail/340875","39","add","props_ arbalest_001, sets_space_032","no_c","97890","wtg","97887","fin","Layout","Roman Grechanovskiy","","","fin","fin","97889","wtg","97886","fin","97888","rdy","Shot","ep017seq06","LEX&PLU",
"31229","ep017seq06sh21","ip","http:///file_proxy/thumbnail/356310","41","add","props_ arbalest_001, props_ helm_003, props_book_004, props_chair_001, sets_blackhole_016","no_c","97895","wtg","97892","fin","Layout","Roman Grechanovskiy","","","fin","ip","97894","wtg","97891","fin","97893","rdy","Shot","ep017seq06","LEX&PLU",
"31230","ep017seq06sh22","ip","http:///file_proxy/thumbnail/343598","97","add","props_megaphone_001, sets_space_032","no_c","97900","wtg","97897","fin","Layout","Roman Grechanovskiy","","","fin","fin","97899","wtg","97896","fin","97898","rdy","Shot","ep017seq06","LEX&PLU",
"31231","ep017seq06sh23","ip","http:///file_proxy/thumbnail/366735","224","add","chars_cilya_chikens, props_ helm_003, props_book_004, props_chair_001, sets_blackhole_016","no_c","97905","wtg","97902","fin","Layout","Roman Grechanovskiy","","","fin","ip","97904","wtg","97901","fin","97903","rdy","Shot","ep017seq06","LEX&PLU",
"31232","ep017seq06sh24","ip","http:///file_proxy/thumbnail/374161","36","add","chars_cilya_chikens, props_ helm_003, props_book_004, props_chair_001, sets_blackhole_015","no_c","97910","wtg","97907","fin","Layout","Roman Grechanovskiy","","","fin","ip","97909","wtg","97906","fin","97908","fin","Shot","ep017seq06","LEX&PLU",
"31233","ep017seq07sh01","ip","http:///file_proxy/thumbnail/367599","39","add","props_guitar_amplifier_001","no_c","97915","wtg","97912","fin","Layout","Valeria Bukreeva","","","fin","fin","97914","wtg","97911","omt","97913","fin","Shot","ep017seq07","LEX&PLU",
"31234","ep017seq07sh02","ip","http:///file_proxy/thumbnail/345950","33","ждем комментарий Леши","props_guitar_001, sets_home_058","no_c","97920","wtg","97917","fin","Layout","Valeria Bukreeva","","","fin","fin","97919","wtg","97916","fin","97918","rdy","Shot","ep017seq07","LEX&PLU",
"31235","ep017seq07sh03","ip","http:///file_proxy/thumbnail/344131","25","add","props_guitar_001, props_hand_bandage_001, sets_home_058","no_c","97925","wtg","97922","fin","Layout","Valeria Bukreeva","","","fin","fin","97924","wtg","97921","fin","97923","rdy","Shot","ep017seq07","LEX&PLU",
"31236","ep017seq07sh04","ip","http:///file_proxy/thumbnail/341388","46","нет градусника на аквариуме на фоне","props_ aquarium_001, sets_home_059","no_c","97930","wtg","97927","fin","Layout","Valeria Bukreeva","","","fin","fin","97929","wtg","97926","fin","97928","rdy","Shot","ep017seq07","LEX&PLU",
"31237","ep017seq07sh05","ip","http:///file_proxy/thumbnail/344139","120","add","props_ aquarium_001, props_guitar_001, props_guitar_amplifier_001, props_hand_bandage_001, sets_home_057","no_c","97935","wtg","97932","fin","Layout","Valeria Bukreeva","","","fin","fin","97934","wtg","97931","fin","97933","rdy","Shot","ep017seq07","LEX&PLU",
"31238","ep017seq07sh06","ip","http:///file_proxy/thumbnail/352345","100","add","props_guitar_amplifier_001, sets_home_061","no_c","97940","wtg","97937","fin","Layout","Valeria Bukreeva","","","fin","fin","97939","wtg","97936","fin","97938","rdy","Shot","ep017seq07","LEX&PLU",
"31239","ep017seq07sh07","ip","http:///file_proxy/thumbnail/369028","97","поправить указатель на усилителе после анимации","props_guitar_001, props_guitar_amplifier_001, props_hand_bandage_001, sets_home_001","no_c","97945","wtg","97942","fin","Layout","Valeria Bukreeva","","","fin","fin","97944","wtg","97941","fin","97943","fin","Shot","ep017seq07","LEX&PLU",
"31240","ep017seq07sh08","ip","http:///file_proxy/thumbnail/374784","36","add","sets_home_001d","no_c","97950","wtg","97947","fin","Layout","Valeria Bukreeva","","","fin","fin","97949","wtg","97946","omt","97948","fin","Shot","ep017seq07","LEX&PLU",
"31241","ep017seq07sh09","ip","http:///file_proxy/thumbnail/368597","108","add","props_ aquarium_001, sets_home_057","no_c","97955","wtg","97952","fin","Layout","Valeria Bukreeva","","","fin","fin","97954","wtg","97951","fin","97953","fin","Shot","ep017seq07","LEX&PLU",
"31242","ep017seq07sh10","ip","http:///file_proxy/thumbnail/344143","32","add","props_ aquarium_001, props_guitar_001, props_hand_bandage_001, sets_home_055","no_c","97960","wtg","97957","fin","Layout","Valeria Bukreeva","","","fin","fin","97959","wtg","97956","fin","97958","rdy","Shot","ep017seq07","LEX&PLU",
"31243","ep017seq07sh11","ip","http:///file_proxy/thumbnail/344397","59","поправить указатель на усилителе после анимации","props_ aquarium_001, props_guitar_001, props_guitar_amplifier_001, props_hand_bandage_001, sets_home_057","no_c","97965","wtg","97962","fin","Layout","Valeria Bukreeva","","","fin","fin","97964","wtg","97961","fin","97963","rdy","Shot","ep017seq07","LEX&PLU",
"31244","ep017seq07sh12","ip","http:///file_proxy/thumbnail/337101","23","add","props_ aquarium_001, sets_home_054","no_c","97970","wtg","97967","fin","Layout","Valeria Bukreeva","","","fin","fin","97969","wtg","97966","omt","97968","wtg","Shot","ep017seq07","LEX&PLU",
"31245","ep017seq07sh13","ip","http:///file_proxy/thumbnail/355796","249","add","props_ aquarium_001, props_hand_bandage_001, sets_home_047","no_c","97975","wtg","97972","fin","Layout","Valeria Bukreeva","","","fin","fin","97974","wtg","97971","fin","97973","rdy","Shot","ep017seq07","LEX&PLU",
"31246","ep017seq08sh01","ip","http:///file_proxy/thumbnail/353754","298","","chars_cilya_chikens, props_ helm_003, props_book_004, props_chair_001, sets_blackhole_016","no_c","97980","wtg","97977","fin","Layout","Mariya Merenkova","","","fin","ip","97979","wtg","97976","fin","97978","rdy","Shot","ep017seq08","LEX&PLU",
"31247","ep017seq08sh02","ip","http:///file_proxy/thumbnail/373609","72","add","chars_cilya_chikens, props_ arbalest_001, props_ helm_003, props_book_004, props_chair_001, sets_blackhole_015","no_c","97985","wtg","97982","fin","Layout","Mariya Merenkova","","","fin","ip","97984","wtg","97981","fin","97983","fin","Shot","ep017seq08","LEX&PLU",
"31248","ep017seq08sh03","ip","http:///file_proxy/thumbnail/344714","61","","chars_cilya_chikens, props_ helm_003, props_book_004, props_chair_001, sets_blackhole_016","no_c","97990","wtg","97987","fin","Layout","Mariya Merenkova","","","fin","ip","97989","wtg","97986","fin","97988","rdy","Shot","ep017seq08","LEX&PLU",
"31249","ep017seq08sh04","ip","http:///file_proxy/thumbnail/351095","20","add","props_ arbalest_001, sets_space_032","no_c","97995","wtg","97992","fin","Layout","Mariya Merenkova","","","fin","fin","97994","wtg","97991","fin","97993","rdy","Shot","ep017seq08","LEX&PLU",
"31250","ep017seq08sh05","ip","http:///file_proxy/thumbnail/345651","36","add","chars_cilya_chikens, props_ arbalest_001, props_ helm_003, props_book_004, sets_blackhole_016","no_c","98000","wtg","97997","fin","Layout","Mariya Merenkova","","","fin","fin","97999","wtg","97996","fin","97998","rdy","Shot","ep017seq08","LEX&PLU",
"31251","ep017seq08sh06","ip","http:///file_proxy/thumbnail/347314","78","add","props_megaphone_001, sets_space_032","no_c","98005","wtg","98002","fin","Layout","Mariya Merenkova","","","fin","fin","98004","wtg","98001","fin","98003","rdy","Shot","ep017seq08","LEX&PLU",
"31252","ep017seq08sh07","ip","http:///file_proxy/thumbnail/355016","159","add","props_ helm_003, props_book_004, sets_blackhole_016","no_c","98010","wtg","98007","fin","Layout","Mariya Merenkova","","","fin","fin","98009","wtg","98006","fin","98008","rdy","Shot","ep017seq08","LEX&PLU",
"31253","ep017seq08sh08","ip","http:///file_proxy/thumbnail/374150","42","add","props_ arbalest_001, props_ helm_003, props_book_004, sets_blackhole_015","no_c","98015","wtg","98012","fin","Layout","Mariya Merenkova","","","fin","fin","98014","wtg","98011","fin","98013","fin","Shot","ep017seq08","LEX&PLU",
"31254","ep017seq08sh09","ip","http:///file_proxy/thumbnail/353015","54","add","props_megaphone_001, sets_space_032","no_c","98020","wtg","98017","fin","Layout","Mariya Merenkova","","","fin","fin","98019","wtg","98016","fin","98018","rdy","Shot","ep017seq08","LEX&PLU",
"31255","ep017seq08sh10","ip","http:///file_proxy/thumbnail/351634","62","add","sets_space_032","no_c","98025","wtg","98022","fin","Layout","Mariya Merenkova","","","fin","fin","98024","wtg","98021","fin","98023","rdy","Shot","ep017seq08","LEX&PLU",
"31256","ep017seq08sh11","ip","http:///file_proxy/thumbnail/353081","158","add","props_megaphone_001, sets_space_032","no_c","98030","wtg","98027","fin","Layout","Mariya Merenkova","","","fin","fin","98029","wtg","98026","fin","98028","rdy","Shot","ep017seq08","LEX&PLU",
"31257","ep017seq08sh12","ip","http:///file_proxy/thumbnail/353248","182","add","chars_cilya_chikens, props_book_004, sets_blackhole_016","no_c","98035","wtg","98032","fin","Layout","Daria Polushina","","","fin","fin","98034","wtg","98031","fin","98033","rdy","Shot","ep017seq08","LEX&PLU",
"31258","ep017seq08sh13","ip","http:///file_proxy/thumbnail/363977","192","add","props_megaphone_001, sets_space_032","no_c","98040","wtg","98037","fin","Layout","Daria Polushina","","","fin","fin","98039","wtg","98036","fin","98038","rdy","Shot","ep017seq08","LEX&PLU",
"31259","ep017seq08sh14","ip","http:///file_proxy/thumbnail/369765","100","8_14 и 8_15 объединяем и кладем в 8_14","chars_cilya_chikens, props_book_004, sets_blackhole_016","no_c","98045","wtg","98042","fin","Layout","Daria Polushina","","","fin","fin","98044","wtg","98041","fin","98043","rdy","Shot","ep017seq08","LEX&PLU",
"31260","ep017seq08sh15","ip","http:///file_proxy/thumbnail/331030","39","сцену объединили с 8_14","chars_cilya_chikens, props_book_004, sets_blackhole_016","no_c","98050","wtg","98047","fin","Layout","Daria Polushina","","","fin","fin","98049","wtg","98046","omt","98048","omt","Shot","ep017seq08","LEX&PLU",
"31261","ep017seq08sh16","ip","http:///file_proxy/thumbnail/374004","59","add","chars_cilya_chikens, props_book_004, sets_blackhole_015","no_c","98055","wtg","98052","fin","Layout","Daria Polushina","","","fin","fin","98054","wtg","98051","fin","98053","fin","Shot","ep017seq08","LEX&PLU",
"31262","ep017seq08sh17","ip","http:///file_proxy/thumbnail/337506","32","язык Плу - контур и после отправляем в анимацию","props_ arbalest_001, sets_space_032","no_c","98060","wtg","98057","fin","Layout","Daria Polushina","","","fin","fin","98059","wtg","98056","fin","98058","rdy","Shot","ep017seq08","LEX&PLU",
"31263","ep017seq08sh18","ip","http:///file_proxy/thumbnail/366024","38","add","chars_cilya_chikens, props_ arbalest_001, sets_blackhole_016","no_c","98065","wtg","98062","fin","Layout","Daria Polushina","","","fin","fin","98064","wtg","98061","fin","98063","rdy","Shot","ep017seq08","LEX&PLU",
"31264","ep017seq08sh19","ip","http:///file_proxy/thumbnail/347078","25","add","props_ arbalest_001, sets_space_032","no_c","98070","wtg","98067","fin","Layout","Daria Polushina","","","fin","fin","98069","wtg","98066","fin","98068","rdy","Shot","ep017seq08","LEX&PLU",
"31265","ep017seq08sh20","ip","http:///file_proxy/thumbnail/373996","56","add","props_ arbalest_001, sets_blackhole_015","no_c","98075","wtg","98072","fin","Layout","Daria Polushina","","","fin","fin","98074","wtg","98071","fin","98073","fin","Shot","ep017seq08","LEX&PLU",
"31266","ep017seq08sh21","ip","http:///file_proxy/thumbnail/369831","35","add","props_book_004, sets_blackhole_017","no_c","98080","wtg","98077","fin","Layout","Daria Polushina","","","fin","fin","98079","wtg","98076","omt","98078","fin","Shot","ep017seq08","LEX&PLU",
"31267","ep017seq09sh01","ip","http:///file_proxy/thumbnail/352341","88","правка по длине ног","chars_egg_001, props_guitar_001, props_guitar_amplifier_001, sets_home_066","no_c","98085","wtg","98082","fin","Layout","Roman Grechanovskiy","","","fin","fin","98084","wtg","98081","fin","98083","rdy","Shot","ep017seq09","LEX&PLU",
"31268","ep017seq09sh02","ip","http:///file_proxy/thumbnail/352429","217","add","chars_egg_001, props_hand_bandage_001, sets_home_065","no_c","98090","wtg","98087","fin","Layout","Roman Grechanovskiy","","","fin","fin","98089","wtg","98086","fin","98088","rdy","Shot","ep017seq09","LEX&PLU",
"31269","ep017seq09sh03","ip","http:///file_proxy/thumbnail/352337","38","add","chars_egg_001, props_hand_bandage_001, sets_home_048","no_c","98095","wtg","98092","fin","Layout","Roman Grechanovskiy","","","fin","fin","98094","wtg","98091","fin","98093","rdy","Shot","ep017seq09","LEX&PLU",
"31270","ep017seq09sh04","ip","http:///file_proxy/thumbnail/352462","102","add","chars_egg_001, sets_home_061","no_c","98100","wtg","98097","fin","Layout","Roman Grechanovskiy","","","fin","fin","98099","wtg","98096","fin","98098","rdy","Shot","ep017seq09","LEX&PLU",
"31271","ep017seq09sh05","ip","http:///file_proxy/thumbnail/356291","41","add","chars_egg_001, chars_lex, sets_home_067","no_c","98105","wtg","98102","fin","Layout","Roman Grechanovskiy","","","fin","fin","98104","wtg","98101","fin","98103","rdy","Shot","ep017seq09","LEX&PLU",
"31272","ep017seq09sh06","ip","http:///file_proxy/thumbnail/357070","44","add","chars_egg_001, props_hand_bandage_001, sets_home_048","no_c","98110","wtg","98107","fin","Layout","Roman Grechanovskiy","","","fin","fin","98109","wtg","98106","fin","98108","rdy","Shot","ep017seq09","LEX&PLU",
"31273","ep017seq09sh07","ip","http:///file_proxy/thumbnail/369721","47","add","chars_egg_001, sets_home_061","no_c","98115","wtg","98112","fin","Layout","Roman Grechanovskiy","","","fin","fin","98114","wtg","98111","fin","98113","rdy","Shot","ep017seq09","LEX&PLU",
"31274","ep017seq09sh08","ip","http:///file_proxy/thumbnail/368267","48","ступни отредактироваьт перед сдачей в аним","chars_egg_001, props_hand_bandage_001, sets_home_048","no_c","98120","wtg","98117","fin","Layout","Roman Grechanovskiy","","","fin","fin","98119","wtg","98116","fin","98118","rdy","Shot","ep017seq09","LEX&PLU",
"31275","ep017seq09sh09","ip","http:///file_proxy/thumbnail/371981","88","add","chars_egg_001, sets_home_061","no_c","98125","wtg","98122","fin","Layout","Roman Grechanovskiy","","","fin","fin","98124","wtg","98121","fin","98123","rdy","Shot","ep017seq09","LEX&PLU",
"31276","ep017seq09sh10","ip","http:///file_proxy/thumbnail/364397","37","add","props_hand_bandage_001, sets_home_047","no_c","98130","wtg","98127","fin","Layout","Roman Grechanovskiy","","","fin","fin","98129","wtg","98126","fin","98128","rdy","Shot","ep017seq09","LEX&PLU",
"31277","ep017seq09sh11","ip","http:///file_proxy/thumbnail/370138","51","add","chars_egg_001, chars_lex, sets_home_061","no_c","98135","wtg","98132","fin","Layout","Roman Grechanovskiy","","","fin","fin","98134","wtg","98131","fin","98133","rdy","Shot","ep017seq09","LEX&PLU",
"31278","ep017seq09sh12","ip","http:///file_proxy/thumbnail/373235","69","поправить композицию перед просмотром","chars_egg_001, props_hand_bandage_001, sets_home_047","no_c","98140","wtg","98137","fin","Layout","Roman Grechanovskiy","","","fin","fin","98139","wtg","98136","fin","98138","rdy","Shot","ep017seq09","LEX&PLU",
"31279","ep017seq09sh13","ip","http:///file_proxy/thumbnail/368822","80","add","chars_cilya_chikens, chars_egg_001, sets_home_068","no_c","98145","wtg","98142","fin","Layout","Roman Grechanovskiy","","","fin","fin","98144","wtg","98141","fin","98143","rdy","Shot","ep017seq09","LEX&PLU",
"31280","ep017seq10sh01","ip","http:///file_proxy/thumbnail/375109","189","add","chars_cilya_chikens, sets_car_003","no_c","98150","wtg","98147","fin","Layout","Lisa Kotsaga","","","fin","fin","98149","wtg","98146","fin","98148","rdy","Shot","ep017seq10","LEX&PLU",
"31281","ep017seq10sh02","ip","http:///file_proxy/thumbnail/375184","289","add","chars_cilya_chikens, chars_egg_001, sets_home_063","no_c","98155","wtg","98152","fin","Layout","Lisa Kotsaga","","","fin","fin","98154","wtg","98151","fin","98153","rdy","Shot","ep017seq10","LEX&PLU",
"31282","ep017seq10sh03","ip","http:///file_proxy/thumbnail/356283","103","add","chars_lex, sets_home_064","no_c","98160","wtg","98157","fin","Layout","Lisa Kotsaga","","","fin","fin","98159","wtg","98156","fin","98158","wtg","Shot","ep017seq10","LEX&PLU",
"31283","ep017seq10sh04","ip","http:///file_proxy/thumbnail/356594","149","add","chars_cilya_chikens, sets_home_065","no_c","98165","wtg","98162","fin","Layout","Lisa Kotsaga","","","fin","fin","98164","wtg","98161","fin","98163","rdy","Shot","ep017seq10","LEX&PLU",
"31284","ep017seq10sh05","ip","http:///file_proxy/thumbnail/360872","84","add","chars_cilya_chikens, chars_lex, sets_home_065","no_c","98170","wtg","98167","fin","Layout","Lisa Kotsaga","","","fin","fin","98169","wtg","98166","fin","98168","rdy","Shot","ep017seq10","LEX&PLU",
"31285","ep017seq10sh06","ip","http:///file_proxy/thumbnail/356271","60","add","chars_cilya_chikens, sets_home_005b","no_c","98175","wtg","98172","fin","Layout","Lisa Kotsaga","","","fin","fin","98174","wtg","98171","fin","98173","rdy","Shot","ep017seq10","LEX&PLU",
"31286","ep017seq10sh07","ip","http:///file_proxy/thumbnail/353486","223","add","chars_cilya_chikens, sets_home_060","no_c","98180","wtg","98177","fin","Layout","Lisa Kotsaga","","","fin","fin","98179","wtg","98176","fin","98178","rdy","Shot","ep017seq10","LEX&PLU",
"31287","ep017seq11sh01","ip","http:///file_proxy/thumbnail/344221","29","add","chars_egg_001, chars_platon, props_trammel_001","no_c","98185","wtg","98182","fin","Layout","Varia Chinenova","","","fin","fin","98184","wtg","98181","fin","98183","rdy","Shot","ep017seq11","LEX&PLU",
"31288","ep017seq11sh02","ip","http:///file_proxy/thumbnail/362392","75","add","chars_platon, props_folder_002, props_trammel_001, sets_home_047","no_c","98190","wtg","98187","fin","Layout","Varia Chinenova","","","fin","fin","98189","wtg","98186","fin","98188","rdy","Shot","ep017seq11","LEX&PLU",
"31289","ep017seq11sh03","ip","http:///file_proxy/thumbnail/347357","162","найти язык лексу, удалить струну","chars_cilya_chikens, props_drumset, props_guitar_001, sets_home_062","no_c","98195","wtg","98192","fin","Layout","Varia Chinenova","","","fin","fin","98194","wtg","98191","fin","98193","rdy","Shot","ep017seq11","LEX&PLU",
"31290","ep017seq11sh04","ip","http:///file_proxy/thumbnail/352333","78","проверить фон","chars_cilya_chikens, props_drumset, sets_home_062","no_c","98200","wtg","98197","fin","Layout","Varia Chinenova","","","fin","fin","98199","wtg","98196","fin","98198","rdy","Shot","ep017seq11","LEX&PLU",
"31291","ep017seq11sh05","ip","http:///file_proxy/thumbnail/345151","146","add","chars_cilya_chikens, chars_platon, props_folder_002, sets_home_047","no_c","98205","wtg","98202","fin","Layout","Varia Chinenova","","","fin","fin","98204","wtg","98201","fin","98203","rdy","Shot","ep017seq11","LEX&PLU",
"31292","ep017seq11sh06","ip","http:///file_proxy/thumbnail/347063","48","уменьшить ладонь триши перед просмоторм","chars_cilya_chikens, props_mat_001, sets_home_053","no_c","98210","wtg","98207","fin","Layout","Varia Chinenova","","","fin","fin","98209","wtg","98206","fin","98208","rdy","Shot","ep017seq11","LEX&PLU",
"31293","ep017seq11sh07","ip","http:///file_proxy/thumbnail/366275","290","add","chars_cilya_chikens, props_folder_002, sets_home_047","no_c","98215","wtg","98212","fin","Layout","Varia Chinenova","","","fin","fin","98214","wtg","98211","fin","98213","rdy","Shot","ep017seq11","LEX&PLU",
"31294","ep017seq11sh08","ip","http:///file_proxy/thumbnail/351613","45","add","chars_cilya_chikens, sets_home_047","no_c","98220","wtg","98217","fin","Layout","Varia Chinenova","","","fin","fin","98219","wtg","98216","fin","98218","rdy","Shot","ep017seq11","LEX&PLU",
"31295","ep017seq11sh09","ip","http:///file_proxy/thumbnail/357463","117","add","chars_cilya_chikens, props_mat_001, sets_home_053","no_c","98225","wtg","98222","fin","Layout","Varia Chinenova","","","fin","fin","98224","wtg","98221","fin","98223","rdy","Shot","ep017seq11","LEX&PLU",
"31296","ep017seq11sh10","ip","http:///file_proxy/thumbnail/366271","254","add","chars_cilya_chikens, sets_home_047","no_c","98230","wtg","98227","fin","Layout","Varia Chinenova","","","fin","fin","98229","wtg","98226","fin","98228","rdy","Shot","ep017seq11","LEX&PLU",
"31297","ep017seq11sh11","ip","http:///file_proxy/thumbnail/362308","85","сместиться правее, тришу левее, вставить стол, криспи, тень крупнее","chars_cilya_chikens, props_mat_001, sets_home_048","no_c","98235","wtg","98232","fin","Layout","Varia Chinenova","","","fin","fin","98234","wtg","98231","fin","98233","rdy","Shot","ep017seq11","LEX&PLU",
"31298","ep017seq11sh12","ip","http:///file_proxy/thumbnail/353772","46","вставить чистовую улыбку","chars_cilya_chikens, props_drumset, props_guitar_001, sets_home_062","no_c","98240","wtg","98237","fin","Layout","Varia Chinenova","","","fin","fin","98239","wtg","98236","fin","98238","rdy","Shot","ep017seq11","LEX&PLU",
"31299","ep017seq11sh13","ip","http:///file_proxy/thumbnail/347369","32","заменить рты цыпам","chars_cilya_chikens, sets_home_076","no_c","98245","wtg","98242","fin","Layout","Varia Chinenova","","","fin","fin","98244","wtg","98241","fin","98243","rdy","Shot","ep017seq11","LEX&PLU",
"31300","ep017seq11sh14","ip","http:///file_proxy/thumbnail/348122","161","заменить рот цили","chars_cilya_chikens, props_drumset, props_guitar_001, sets_home_062","no_c","98250","wtg","98247","fin","Layout","Varia Chinenova","","","fin","fin","98249","wtg","98246","fin","98248","rdy","Shot","ep017seq11","LEX&PLU",
"31301","ep017seq12sh01","ip","http:///file_proxy/thumbnail/369357","330","add","chars_cilya_chikens, sets_home_ext_009","no_c","98255","wtg","98252","fin","Layout","Varia Chinenova","","","fin","fin","98254","wtg","98251","fin","98253","rdy","Shot","ep017seq12","LEX&PLU",
