,,,,,,"Art","Art",,,,,,,,,,
"5399","props_paper_004","wtg","чертеж","http:///file_proxy/thumbnail/293665","","96191","fin","props","props_accessories","ep013seq01sh04, ep013seq01sh06, ep013seq03sh01","Assets","ep013","","props","2020/08/19 11:05:15 PM","LEX&PLU",
"5530","props_paper_005","fin","контракт с печатями","http:///file_proxy/thumbnail/302964","","97029","fin","props","props_accessories","ep014seq03sh08, ep014seq03sh09, ep014seq04sh07, ep014seq04sh08, ep014seq04sh10, ep014seq04sh12, ep014seq04sh14, ep014seq04sh16, ep014seq04sh17, ep014seq04sh18, ep014seq04sh19, ep014seq06sh07, ep014seq06sh11, ep014seq06sh14, ep014seq06sh18, ep014seq07sh08, ep014seq07sh12","Assets","ep014","","props","2020/09/03 02:05:15 PM","LEX&PLU",
"3602","props_paperpile_001","wtg","","http:///file_proxy/thumbnail/215745","","82467","fin","props","props_accessories","ep004seq03sh07, ep004seq03sh09, ep004seq03sh12, ep004seq04sh16, ep004seq04sh18, ep004seq04sh19, ep004seq04sh27, ep004seq04sh32, ep004seq06sh04","Assets","ep004","","props","2019/12/13 02:31:29 AM","LEX&PLU",
"5232","props_paperpile_002","fin","листы, которые разбрасывает Грег","http:///file_proxy/thumbnail/290040","","94440","fin","props","props_accessories","ep012seq03sh02, ep012seq03sh03","Assets","ep012","1 - easy","props","2020/07/25 03:53:55 PM","LEX&PLU",
"4021","props_parachute_001","wtg","парашут","http:///file_proxy/thumbnail/220708","","85645","fin","props","props_tools","","Assets","ep007","","props","2020/03/12 11:36:32 AM","LEX&PLU",
"4797","props_partysuit_001","wtg","карнавальный костюм","http:///file_proxy/thumbnail/273518","","90980","fin","props","props_clothes","ep010seq02sh01","Assets","ep010","","props","2020/05/28 11:39:59 PM","LEX&PLU",
"4208","props_pasta_001","wtg","паста","http:///file_proxy/thumbnail/262127","","86806","fin","props","props_food&dishes","ep007seq05sh08","Assets","ep007","","props","2020/03/29 06:47:41 PM","LEX&PLU",
"5096","props_payment_terminal_001","wtg","платежный терминал","http:///file_proxy/thumbnail/282036","","93187","fin","props","props_accessories","ep011seq16sh01, ep011seq16sh05, ep011seq16sh07, ep011seq16sh08, ep011seq16sh10","Assets","ep011","","props","2020/07/16 09:59:06 AM","LEX&PLU",
"5460","props_payment_terminal_002","fin","Кассовый аппарат","http:///file_proxy/thumbnail/300143","","96918","fin","props","props_accessories","ep015seq09sh14, ep015seq09sh15, ep015seq09sh22, ep015seq09sh25, ep015seq09sh26","Assets","ep015","1 - easy","props","2020/09/02 11:07:30 PM","LEX&PLU",
"5670","props_pen_001","fin","ручка Циполия","http:///file_proxy/thumbnail/299060","","97120","fin","props","props_accessories","ep015seq09sh21, ep015seq09sh23, ep015seq09sh26, ep016seq05sh03","Assets","ep015","1 - easy","props","2020/09/09 05:37:45 PM","LEX&PLU",
"5398","props_pencil_001","wtg","карандаш","http:///file_proxy/thumbnail/293662","","96190","fin","props","props_accessories","ep013seq01sh02","Assets","ep013","","props","2020/08/19 11:05:14 PM","LEX&PLU",
"3607","props_pencil_002","wtg","","http:///file_proxy/thumbnail/205660","","82472","fin","props","props_accessories","ep004seq04sh28, ep004seq04sh30, ep014seq03sh07","Assets","ep004","","props","2019/12/13 02:45:19 AM","LEX&PLU",
"6253","props_pepper_001","fin","перчик","http:///file_proxy/thumbnail/327497","","104586","fin","props","props_food&dishes","ep018seq08sh02, ep018seq08sh03","Assets","ep018","","props","2020/11/23 03:44:49 PM","LEX&PLU",
"6510","props_phonebooth_001","fin","Телефонная будка","http:///file_proxy/thumbnail/366452","","106421","fin","props","props_accessories","ep021seq01sh13, ep021seq01sh16, ep021seq03sh01, ep021seq03sh02, ep021seq03sh03, ep021seq03sh04, ep021seq03sh06, ep021seq03sh07","Assets","ep021","2 - standard","props","2020/12/16 03:41:46 PM","LEX&PLU",
"5531","props_photo","wtg","фото c домиком","","","97030","ip","props","props_accessories","ep014seq05sh02, ep015seq08sh12","Assets","ep014","","props","2020/09/03 02:05:15 PM","LEX&PLU",
"4200","props_photo_001","wtg","фото","http:///file_proxy/thumbnail/270820","","86798","fin","props","props_accessories","ep007seq07sh04","Assets","ep007","","props","2020/03/29 05:45:27 PM","LEX&PLU",
"4770","props_photo_002","wtg","фото Триши","http:///file_proxy/thumbnail/272725","","90955","fin","props","props_accessories","ep010seq01sh03, ep010seq01sh05, ep010seq01sh06, ep010seq01sh07","Assets","ep010","","props","2020/05/21 12:16:16 AM","LEX&PLU",
"5094","props_photo_003","wtg","фото","http:///file_proxy/thumbnail/285264","","93185","fin","props","props_accessories","ep011seq11sh02, ep011seq11sh04","Assets","ep011","","props","2020/07/16 09:59:06 AM","LEX&PLU",
"5095","props_photo_004","wtg","фото","http:///file_proxy/thumbnail/285303","","93186","fin","props","props_accessories","ep011seq14sh04, ep011seq15sh03, ep011seq15sh05, ep011seq17sh01","Assets","ep011","","props","2020/07/16 09:59:06 AM","LEX&PLU",
"5226","props_photo_005","fin","детская фотография Лекса и Триши","http:///file_proxy/thumbnail/301996","","94434","fin","props","props_accessories","ep012seq01sh16, ep012seq01sh17, ep012seq01sh18, ep012seq01sh21, ep012seq01sh22","Assets","ep012","2 - standard","props","2020/07/25 02:09:41 PM","LEX&PLU",
"5457","props_photo_006","fin","Фотография Хэма","http:///file_proxy/thumbnail/312895","","96915","fin","props","props_accessories","ep015seq08sh11, ep015seq08sh12","Assets","ep015","2 - standard","props","2020/09/02 08:22:39 PM","LEX&PLU",
"6275","props_photoframe_001","fin","фоторамки","http:///file_proxy/thumbnail/339686","","104609","fin","props","props_accessories","ep019seq01sh01, ep019seq01sh02, ep019seq01sh03, ep019seq01sh04, ep019seq01sh05, ep019seq01sh06, ep019seq01sh07, ep019seq01sh08, ep019seq01sh09, ep019seq01sh11, ep019seq01sh13, ep019seq08sh02, ep019seq08sh04, ep019seq08sh05, ep019seq08sh07, ep019seq08sh08","Assets","ep019","2 - standard","props","2020/11/23 06:29:17 PM","LEX&PLU",
"4796","props_pickles_001","wtg","соленые огурцы","http:///file_proxy/thumbnail/272535","","90979","fin","props","props_food&dishes","ep010seq02sh20","Assets","ep010","","props","2020/05/28 11:13:16 PM","LEX&PLU",
"4248","props_piece_001","wtg","кусочек пончика","http:///file_proxy/thumbnail/257117","","86846","fin","props","props_food&dishes","ep008seq12sh09","Assets","ep008","","props","2020/03/30 09:53:33 AM","LEX&PLU",
"3600","props_pies_001","wtg","","http:///file_proxy/thumbnail/207062","","82465","fin","props","props_nature","ep004seq03sh11, ep004seq03sh13","Assets","ep004","","props","2019/12/13 02:21:08 AM","LEX&PLU",
"3585","props_pile_001","wtg","","http:///file_proxy/thumbnail/205221","","82450","fin","props","props_accessories","","Assets","ep003","","props","2019/12/09 07:51:34 PM","LEX&PLU",
"5458","props_pile_002","fin","Куча хлама","http:///file_proxy/thumbnail/298162","","96916","fin","props","props_accessories","ep015seq01sh02, ep015seq01sh03, ep015seq01sh11, ep015seq01sh13, ep015seq01sh15","Assets","ep015","2 - standard","props","2020/09/02 10:55:44 PM","LEX&PLU",
"5454","props_pile_003","fin","Хлам для распродажи на столе","http:///file_proxy/thumbnail/298173","","96912","fin","props","props_accessories","ep015seq06sh11, ep015seq06sh12, ep015seq06sh14, ep015seq06sh16, ep015seq09sh02, ep015seq09sh03, ep015seq09sh04, ep015seq09sh07, ep015seq09sh08, ep015seq09sh10, ep015seq09sh12, ep015seq09sh13, ep015seq09sh18, ep015seq09sh19, ep015seq09sh20, ep015seq09sh21, ep015seq09sh22, ep015seq09sh23, ep015seq09sh26","Assets","ep015","2 - standard","props","2020/09/02 03:48:40 PM","LEX&PLU",
"5225","props_pillow_001","fin","подушечки, на которых сидят Лекс и Плу","http:///file_proxy/thumbnail/290920","","94433","fin","props","props_accessories","ep012seq05sh09, ep012seq07sh06, ep012seq07sh13, ep012seq07sh15, ep012seq07sh17","Assets","ep012","1 - easy","props","2020/07/25 02:08:03 PM","LEX&PLU",
"5755","props_pillow_002","fin","подушка","http:///file_proxy/thumbnail/313701","","98315","fin","props","props_accessories","ep017seq03sh02","Assets","ep017","","props","2020/10/02 02:14:04 PM","LEX&PLU",
"4782","props_pincette_001","wtg","пинцет","http:///file_proxy/thumbnail/274505","","90967","fin","props","props_accessories","ep010seq08sh01","Assets","ep010","","props","2020/05/21 12:16:18 AM","LEX&PLU",
"4596","props_pinecone_001","wtg","шишка","http:///file_proxy/thumbnail/276054","","90781","fin","props","props_nature","ep009seq09sh01, ep009seq09sh02, ep009seq09sh03","Assets","ep009","1 - easy","props","2020/05/11 06:31:30 PM","LEX&PLU",
"7374","props_pingpong_set_001","fin","мячик + ракетка","http:///file_proxy/thumbnail/383716","","112782","fin","props","props_accessories","ep024seq01sh10, ep024seq01sh11, ep024seq01sh12, ep024seq01sh13, ep024seq01sh14, ep024seq01sh15, ep024seq01sh17, ep024seq02sh02, ep024seq02sh03, ep024seq02sh04, ep024seq02sh06, ep024seq02sh11, ep024seq02sh12, ep024seq02sh13, ep024seq02sh16, ep024seq03sh05, ep024seq04sh03, ep024seq05sh01, ep024seq05sh03, ep024seq05sh04, ep024seq05sh05, ep024seq05sh07, ep024seq06sh01, ep024seq06sh03, ep024seq06sh07, ep024seq06sh08, ep024seq06sh09, ep024seq06sh13, ep024seq06sh14, ep024seq06sh15, ep024seq06sh16, ep024seq06sh17, ep024seq07sh01, ep024seq07sh08, ep024seq07sh09, ep024seq07sh10, ep024seq08sh01, ep024seq08sh02, ep024seq08sh03, ep024seq08sh04, ep024seq08sh07, ep024seq09sh05, ep024seq09sh07, ep024seq09sh12, ep024seq09sh13, ep024seq09sh15, ep024seq09sh16, ep024seq09sh17, ep024seq09sh18, ep024seq10sh01, ep024seq10sh02, ep024seq10sh03, ep024seq10sh05, ep024seq10sh07, ep024seq10sh08, ep024seq10sh10, ep024seq10sh11, ep024seq10sh12, ep024seq10sh13, ep024seq10sh14, ep024seq11sh01, ep024seq11sh02, ep024seq11sh03, ep024seq11sh04, ep024seq11sh07, ep024seq11sh09, ep024seq11sh10, ep024seq11sh11, ep024seq11sh12, ep024seq11sh13, ep024seq11sh15","Assets","ep024","","props","2021/02/03 08:52:38 PM","LEX&PLU",
"7384","props_pinguin_car_001","wtg","машина пингвинов","","","112792","rdy","props","props_vehicles","ep024seq03sh02, ep024seq03sh03, ep024seq03sh05, ep024seq05sh01, ep024seq05sh03, ep024seq05sh07, ep024seq06sh07, ep024seq06sh09, ep024seq07sh07, ep024seq07sh11","Assets","ep024","","props","2021/02/03 08:52:39 PM","LEX&PLU",
"6948","props_pipe_001","fin","труба","http:///file_proxy/thumbnail/349116","","107554","fin","props","props_tools","ep020seq07sh01","Assets","ep020","","props","2021/01/12 02:50:38 PM","LEX&PLU",
"6248","props_pizza_001","fin","пицца, которую раскатывает Лекс, потом с ингридиентами сверху, горелая пицца, пицца, вылезающая из плиты 18_08_05","http:///file_proxy/thumbnail/327771","","104581","fin","props","props_food&dishes","ep018seq08sh01, ep018seq08sh02, ep018seq08sh03, ep018seq08sh05, ep018seq11sh06, ep018seq11sh07, ep018seq11sh10, ep018seq11sh12, ep018seq11sh14, ep018seq12sh11, ep018seq13sh03","Assets","ep018","","props","2020/11/23 03:44:49 PM","LEX&PLU",
"7519","props_pizza_002","wtg","пицца из корешков, листочков, не румяная пицца, но съедобная","","","113722","rdy","props","props_food&dishes","ep025seq08sh09, ep025seq08sh10, ep025seq08sh11","Assets","ep025","","props","2021/02/20 02:14:00 PM","LEX&PLU",
"4234","props_pizzabox_001","fin","коробка пиццы","http:///file_proxy/thumbnail/257109","","86832","fin","props","props_accessories","ep008seq06sh14","Assets","ep008","","props","2020/03/30 09:21:28 AM","LEX&PLU",
"6516","props_ plane_001","ip","Нелепый самолёт","","","106427","ip","props","props_vehicles","ep021seq07sh02, ep021seq07sh03, ep021seq07sh05","Assets","ep021","2 - standard","props","2020/12/16 03:41:46 PM","LEX&PLU",
"7510","props_plants_001","wtg","банки с растениями, корешками, колючками, листиками","","","113713","rdy","props","props_nature","ep025seq03sh02, ep025seq03sh05, ep025seq03sh06, ep025seq03sh07, ep025seq08sh09","Assets","ep025","","props","2021/02/20 02:13:59 PM","LEX&PLU",
"5438","props_plate_001","fin","тарелки","http:///file_proxy/thumbnail/295208","","96233","fin","props","props_food&dishes","ep013seq11sh01, ep018seq13sh01","Assets","","","props","2020/08/26 04:22:20 PM","LEX&PLU",
"4568","props_plug_001","wtg","вилка для розетки","http:///file_proxy/thumbnail/274308","","89818","fin","props","props_accessories","ep006seq09sh06","Assets","ep006","1 - easy","props","2020/05/07 09:28:11 PM","LEX&PLU",
"6234","props_plug_002","fin","штепсель для радио и холодильника","http:///file_proxy/thumbnail/328465","","104596","fin","props","props_accessories","ep018seq04sh07, ep018seq04sh15, ep018seq04sh16","Assets","ep018","","props","2020/11/23 03:44:48 PM","LEX&PLU",
"4337","props_plu_helm_001","wtg","велосипедный шлем Плу","http:///file_proxy/thumbnail/262436","","88557","fin","props","props_clothes","ep011seq07sh01, ep011seq07sh02, ep011seq07sh09, ep011seq07sh10, ep011seq07sh12","Assets","ep007","","props","2020/04/23 02:41:16 PM","LEX&PLU",
"4771","props_police_costume_001","wtg","костюм Триши","http:///file_proxy/thumbnail/272534","","90956","fin","props","props_clothes","ep010seq02sh09, ep010seq02sh11, ep010seq02sh13, ep010seq09sh08, ep010seq09sh09, ep010seq09sh10, ep010seq09sh11","Assets","ep010","","props","2020/05/21 12:16:16 AM","LEX&PLU",
"5582","props_popcorn_001","fin","попкорн в тарелке","http:///file_proxy/thumbnail/304818","","97041","fin","props","props_food&dishes","ep016seq01sh01, ep016seq01sh02, ep016seq01sh06, ep016seq01sh08, ep016seq01sh09, ep016seq01sh11, ep016seq01sh12, ep016seq01sh14, ep016seq01sh15","Assets","ep016","","props","2020/09/04 03:10:25 PM","LEX&PLU",
"6247","props_pot_001","fin","кастрюля с несколькими томатами внутри + куски помидоров, разлетающиеся по кухне","http:///file_proxy/thumbnail/327740","","104580","fin","props","props_food&dishes","ep018seq07sh01, ep018seq07sh02, ep018seq07sh03, ep018seq12sh06, ep018seq12sh08, ep018seq12sh10","Assets","ep018","","props","2020/11/23 03:44:49 PM","LEX&PLU",
"6291","props_pot_002","fin","кастрюля","http:///file_proxy/thumbnail/327822","","104637","fin","props","props_food&dishes","ep018seq04sh13, ep018seq04sh17","Assets","ep018","","props","2020/11/24 06:29:43 PM","LEX&PLU",
"6316","props_pot_003","fin","","http:///file_proxy/thumbnail/343254","","104677","fin","props","props_accessories","ep020seq06sh02, ep020seq06sh03, ep020seq06sh04, ep020seq06sh05, ep020seq06sh06, ep020seq06sh08, ep020seq06sh09, ep020seq06sh10, ep020seq06sh11, ep020seq06sh13, ep020seq07sh02, ep020seq07sh03, ep020seq07sh05, ep020seq08sh01","Assets","ep020","","props","2020/11/27 09:15:25 PM","LEX&PLU",
"4810","props_pouf_chair_001","fin","кресло-мешок","http:///file_proxy/thumbnail/276057","","91708","fin","props","props_furniture","ep009seq15sh01, ep009seq15sh06, ep009seq15sh08, ep009seq15sh09, ep009seq15sh11, ep009seq15sh12, ep014seq01sh01, ep016seq01sh01, ep016seq01sh03, ep016seq01sh04, ep016seq01sh06, ep016seq01sh08, ep016seq01sh09, ep016seq01sh11, ep016seq01sh12, ep016seq01sh14, ep016seq01sh15, ep016seq01sh16, ep019seq01sh01, ep019seq01sh04, ep019seq01sh05, ep019seq01sh07, ep019seq01sh09, ep019seq01sh12","Assets","ep009, ep016, ep019","1 - easy","props","2020/06/15 02:05:34 PM","LEX&PLU",
"5462","props_prize_001","fin","Гоночный приз","http:///file_proxy/thumbnail/301749","","96920","fin","props","props_accessories","ep015seq01sh07, ep015seq01sh09","Assets","ep015","1 - easy","props","2020/09/03 01:44:16 AM","LEX&PLU",
"4026","props_pump_001","wtg","поршень","http:///file_proxy/thumbnail/257352","","85650","fin","props","props_tools","ep007seq12sh09","Assets","ep007","","props","2020/03/12 11:36:33 AM","LEX&PLU",
"7893","props_pump_002","wtg","насос водокачка+трубочка+машина под капотом","","","114764","rdy","props","props_accessories","ep026seq08sh01, ep026seq08sh02, ep026seq08sh03, ep026seq08sh04, ep026seq08sh05, ep026seq08sh06, ep026seq08sh07, ep026seq08sh08, ep026seq08sh09, ep026seq08sh10, ep026seq08sh11, ep026seq08sh13, ep026seq08sh15, ep026seq08sh16, ep026seq08sh17","Assets","ep026","","props","2021/03/16 01:26:03 PM","LEX&PLU",
"6233","props_pumpkin_001","fin","тыква","http:///file_proxy/thumbnail/327778","","104571","fin","props","props_food&dishes","ep018seq04sh09, ep018seq04sh10, ep018seq04sh11, ep018seq04sh13, ep018seq04sh17","Assets","ep018","","props","2020/11/23 03:44:48 PM","LEX&PLU",
"7521","props_quicksand","wtg","зыбучий песок","","","113724","rdy","props","props_nature","ep025seq04sh08, ep025seq04sh09, ep025seq04sh12, ep025seq10sh05, ep025seq10sh08, ep025seq10sh09","Assets","ep025","","props","2021/02/20 02:14:00 PM","LEX&PLU",
"5463","props_race_001","fin","Изображение гонок в телевизоре","http:///file_proxy/thumbnail/301892","","96921","fin","props","props_vehicles","ep015seq01sh05, ep015seq01sh06","Assets","ep015","1 - easy","props","2020/09/03 01:45:00 AM","LEX&PLU",
"5461","props_racer_car_001","ip","Машина Антуана","http:///file_proxy/thumbnail/301894","","96919","ip","props","props_vehicles","ep015seq01sh07, ep015seq01sh09, ep021seq02sh01, ep021seq10sh01, ep021seq11sh01, ep021seq11sh03, ep021seq11sh07, ep021seq11sh09, ep021seq12sh01","Assets","ep015, ep021","3 - difficult","props","2020/09/03 01:43:28 AM","LEX&PLU",
"6535","props_racer_car_002","ip","машины гонщиков","","","106446","ip","props","props_vehicles","ep021seq10sh01, ep021seq10sh02, ep021seq11sh01, ep021seq11sh03, ep021seq11sh07","Assets","ep021","2 - standard","props","2020/12/16 04:07:30 PM","LEX&PLU",
"3577","props_racket_001","wtg","","http:///file_proxy/thumbnail/205222","","79744","fin","props","props_accessories","ep003seq05sh01","Assets","ep003","","props","2019/11/15 06:05:02 PM","LEX&PLU",
"4773","props_radio_001","wtg","радио","http:///file_proxy/thumbnail/272728","","90958","fin","props","props_accessories","ep010seq02sh14, ep010seq02sh17, ep013seq01sh01, ep013seq01sh03, ep013seq01sh07","Assets","ep010","","props","2020/05/21 12:16:17 AM","LEX&PLU",
"7511","props_radioset_001","wtg","рация - экран из машины, без кнопок, к нему примотаны батарейки скотчем, с обратной стороны микросхемы, провода, в seq04 несут на верёвке, крупный план - приём сигнала и севшая батарейка","","","113714","rdy","props","props_accessories","ep025seq04sh17, ep025seq04sh18, ep025seq04sh22, ep025seq04sh24, ep025seq05sh01, ep025seq05sh02, ep025seq05sh03, ep025seq05sh04, ep025seq05sh06, ep025seq05sh08, ep025seq05sh09, ep025seq05sh10, ep025seq05sh11, ep025seq05sh12, ep025seq05sh13, ep025seq05sh15, ep025seq05sh17, ep025seq05sh18, ep025seq05sh20, ep025seq06sh01, ep025seq06sh05, ep025seq06sh06, ep025seq06sh07, ep025seq06sh08, ep025seq06sh09, ep025seq06sh10, ep025seq06sh11, ep025seq06sh12, ep025seq06sh13, ep025seq06sh15, ep025seq06sh17, ep025seq06sh18, ep025seq06sh19, ep025seq06sh21, ep025seq07sh01, ep025seq07sh05, ep025seq07sh07, ep025seq07sh08, ep025seq07sh09, ep025seq07sh10, ep025seq07sh11, ep025seq07sh12, ep025seq07sh13, ep025seq07sh14, ep025seq08sh01, ep025seq08sh02, ep025seq08sh03, ep025seq08sh04, ep025seq08sh05, ep025seq10sh03, ep025seq10sh04","Assets","ep025","","props","2021/02/20 02:13:59 PM","LEX&PLU",
"4800","props_receiver_001","fin","телефонная трубка","http:///file_proxy/thumbnail/277560","","90983","fin","props","props_accessories","ep010seq02sh18, ep010seq02sh19, ep010seq07sh08, ep010seq07sh09","Assets","ep010","","props","2020/05/29 12:14:41 AM","LEX&PLU",
"5233","props_receiver_002","fin","домашняя телефонная трубка с проводом","http:///file_proxy/thumbnail/289618","","94441","fin","props","props_accessories","ep012seq06sh01, ep025seq01sh15, ep025seq01sh16","Assets","ep012","1 - easy","props","2020/07/25 04:15:53 PM","LEX&PLU",
"5234","props_receiver_003","fin","трубка телефона медведей","http:///file_proxy/thumbnail/290333","","94442","fin","props","props_accessories","ep012seq05sh11, ep012seq07sh08, ep012seq07sh10","Assets","ep012","1 - easy","props","2020/07/25 04:19:06 PM","LEX&PLU",
"6277","props_recorder_001","fin","диктофон гуся","http:///file_proxy/thumbnail/356549","","104611","fin","props","props_accessories","ep019seq02sh02, ep019seq02sh03, ep019seq02sh04, ep019seq02sh05, ep019seq02sh07, ep019seq02sh08, ep019seq03sh04, ep019seq04sh05, ep019seq04sh13, ep019seq04sh22, ep019seq05sh05, ep019seq05sh06, ep019seq05sh12, ep019seq05sh24, ep019seq05sh26, ep019seq09sh02, ep019seq09sh04, ep019seq09sh08, ep019seq09sh09","Assets","ep019","3 - difficult","props","2020/11/23 06:30:52 PM","LEX&PLU",
"5403","props_reflector_001","wtg","отражатель для загара","http:///file_proxy/thumbnail/293677","","96195","fin","props","props_accessories","ep013seq02sh02, ep013seq02sh04, ep013seq12sh01, ep013seq12sh02","Assets","ep013","","props","2020/08/19 11:05:15 PM","LEX&PLU",
"5540","props_roadlights_001","fin","дорожные огоньки","http:///file_proxy/thumbnail/304203","","97039","fin","props","props_vehicles","ep014seq02sh01, ep014seq03sh03, ep014seq03sh06, ep014seq03sh10, ep014seq03sh12, ep014seq04sh06, ep014seq04sh09, ep014seq04sh13, ep014seq05sh03, ep014seq05sh08, ep014seq05sh12, ep022seq03sh01, ep022seq03sh07, ep022seq03sh14, ep022seq03sh17, ep022seq04sh02, ep022seq04sh03, ep022seq04sh04, ep022seq04sh05, ep022seq04sh07, ep022seq04sh08, ep022seq04sh10, ep022seq04sh11, ep022seq04sh13, ep022seq05sh01, ep022seq05sh10, ep022seq05sh16, ep022seq05sh18, ep022seq05sh19, ep023seq04sh03, ep023seq04sh06, ep023seq04sh12, ep023seq04sh14, ep023seq04sh15, ep023seq04sh18, ep023seq07sh09, ep023seq08sh02, ep023seq08sh03, ep023seq08sh04, ep023seq08sh06","Assets","ep014, ep022","","props","2020/09/03 02:05:17 PM","LEX&PLU",
"5525","props_roadsign_000","fin","знак в руках","http:///file_proxy/thumbnail/299555","","97024","fin","props","props_vehicles","ep014seq01sh04, ep014seq01sh05, ep014seq01sh09, ep014seq01sh11, ep014seq03sh03","Assets","ep014","","props","2020/09/03 02:05:14 PM","LEX&PLU",
"4024","props_robot_001","wtg","механическая рука","http:///file_proxy/thumbnail/257141","","85648","fin","props","props_accessories","ep022seq06sh13, ep022seq07sh04, ep022seq07sh16, ep022seq07sh18, ep022seq07sh21, ep022seq07sh23","Assets","ep007, ep022","","props","2020/03/12 11:36:32 AM","LEX&PLU",
"4215","props_robot_002","wtg","робот","http:///file_proxy/thumbnail/259877","","86813","fin","props","props_accessories","ep007seq12sh01, ep022seq06sh13, ep022seq06sh14, ep022seq07sh04","Assets","ep007, ep022","","props","2020/03/30 08:09:27 AM","LEX&PLU",
"3584","props_rollercoaster_001","wtg","","http:///file_proxy/thumbnail/203599","","79899","fin","props","props_vehicles","","Assets","ep003","","props","2019/11/28 07:37:48 PM","LEX&PLU",
"6249","props_rolling_pin_001","fin","скалка","http:///file_proxy/thumbnail/327256","","104582","fin","props","props_food&dishes","ep018seq08sh01, ep018seq12sh11","Assets","ep018","","props","2020/11/23 03:44:49 PM","LEX&PLU",
"7523","props_root_001","wtg","корешки","","","113726","rdy","props","props_nature","ep025seq07sh04","Assets","ep025","","props","2021/02/20 02:14:01 PM","LEX&PLU",
"4784","props_rope_001","fin","веревка","http:///file_proxy/thumbnail/276083","","90969","fin","props","props_accessories","","Assets","ep010","","props","2020/05/21 12:16:19 AM","LEX&PLU",
"5090","props_rope_002","wtg","веревка","http:///file_proxy/thumbnail/282030","","93181","fin","props","props_accessories","ep011seq12sh05, ep011seq12sh06","Assets","ep011","","props","2020/07/16 09:59:05 AM","LEX&PLU",
"5236","props_rope_003","fin","верёвка","http:///file_proxy/thumbnail/290087","","94444","fin","props","props_accessories","ep012seq08sh03, ep012seq08sh04, ep012seq08sh05, ep012seq08sh07, ep012seq08sh11, ep012seq08sh12, ep012seq08sh15, ep012seq08sh16, ep012seq08sh18, ep012seq08sh19, ep012seq09sh01, ep012seq09sh07, ep012seq09sh08, ep012seq10sh01, ep012seq10sh02, ep012seq10sh03, ep012seq10sh04, ep012seq11sh02, ep012seq11sh04, ep012seq11sh05, ep012seq11sh08, ep012seq11sh09","Assets","ep012","1 - easy","props","2020/07/25 04:27:47 PM","LEX&PLU",
"6975","props_rope_004","fin","верёвка, которой связывают Бориса","http:///file_proxy/thumbnail/353073","","108727","fin","props","props_accessories","ep019seq04sh01, ep019seq04sh07, ep019seq04sh14, ep019seq04sh15, ep019seq04sh16, ep019seq04sh18, ep019seq04sh21, ep019seq04sh23","Assets","ep019","1 - easy","props","2021/01/19 04:29:38 PM","LEX&PLU",
"5584","props_safe_001","fin","сейф","http:///file_proxy/thumbnail/304986","","97043","fin","props","props_accessories","ep016seq01sh05, ep016seq01sh07","Assets","ep016","","props","2020/09/04 03:10:25 PM","LEX&PLU",
"4206","props_safetyring_001","wtg","спасательный круг","http:///file_proxy/thumbnail/260933","","86804","fin","props","props_tools","ep007seq05sh02, ep007seq05sh03, ep007seq05sh04","Assets","ep007","","props","2020/03/29 06:20:18 PM","LEX&PLU",
"5674","props_sandwich_001","fin","","http:///file_proxy/thumbnail/299297","","97125","fin","props","props_food&dishes","","Assets","","","props","2020/09/11 06:02:33 PM","LEX&PLU",
"3616","props_sandwich_002","fin","","http:///file_proxy/thumbnail/299296","","82481","fin","props","props_food&dishes","ep004seq09sh04, ep016seq01sh01, ep016seq01sh03, ep016seq01sh04, ep016seq01sh06, ep016seq01sh08, ep016seq01sh09, ep016seq01sh11, ep016seq01sh12, ep016seq01sh14, ep016seq01sh15, ep016seq01sh16","Assets","ep004, ep016","","props","2019/12/13 03:27:21 AM","LEX&PLU",
"4558","props_sandwich_003","wtg","бутерброд с колбасой для Гертруды","http:///file_proxy/thumbnail/271250","","89808","fin","props","props_food&dishes","ep006seq03sh02, ep006seq03sh03","Assets","ep006","1 - easy","props","2020/05/07 09:28:10 PM","LEX&PLU",
"4209","props_sausages_001","wtg","сосиски","http:///file_proxy/thumbnail/262308","","86807","fin","props","props_food&dishes","ep007seq05sh09, ep008seq10sh11","Assets","ep007","","props","2020/03/29 06:48:59 PM","LEX&PLU",
"5440","props_sausages_002","fin","сосиски","http:///file_proxy/thumbnail/295211","","96235","fin","props","props_food&dishes","","Assets","ep008","","props","2020/08/26 04:25:54 PM","LEX&PLU",
"6255","props_ sausages_003","fin","колбаски","http:///file_proxy/thumbnail/327500","","104588","fin","props","props_food&dishes","ep018seq08sh02","Assets","ep018","","props","2020/11/23 03:44:49 PM","LEX&PLU",
"6522","props_sausages_004","fin","сосиски","http:///file_proxy/thumbnail/356157","","106433","fin","props","props_food&dishes","ep021seq13sh02, ep021seq13sh03, ep021seq13sh04, ep021seq13sh05, ep021seq13sh06","Assets","ep021","1 - easy","props","2020/12/16 03:41:47 PM","LEX&PLU",
"4772","props_scarf_001","wtg","боа","http:///file_proxy/thumbnail/272485","","90957","fin","props","props_clothes","ep010seq02sh14, ep010seq02sh17, ep010seq02sh20","Assets","ep010","","props","2020/05/21 12:16:16 AM","LEX&PLU",
